Module,Customer,Style,Total SMV,Sewing SMV,Product Type,Chassis ID,CWN,PO Type,Del. Date,Rev Del Date,Ord Qty,Planned Qty,Total Planned,Strip Planned,PSD,Prod Start Time,PED,Avg Per Day,FIH,1,9/4/23,9/5/23,9/6/23,9/7/23,9/8/23,9/9/23,9/10/23,9/11/23,9/12/23,9/13/23,9/14/23,9/15/23,9/16/23,9/17/23,9/18/23,9/19/23,9/20/23,9/21/23,9/22/23,9/23/23,9/24/23,9/25/23,9/26/23,9/27/23,9/28/23,9/29/23,9/30/23,10/1/23,10/2/23,10/3/23,10/4/23,10/5/23,10/6/23,10/7/23,10/8/23,10/9/23,10/10/23,10/11/23,10/12/23,10/13/23,10/14/23,10/15/23,10/16/23,10/17/23,10/18/23,10/19/23,10/20/23,10/21/23,10/22/23,10/23/23,10/24/23,10/25/23,10/26/23,10/27/23,10/28/23,10/29/23,10/30/23,10/31/23,11/1/23,11/2/23,11/3/23,11/4/23,11/5/23,11/6/23,11/7/23,11/8/23,11/9/23,11/10/23,11/11/23,11/12/23,11/13/23,11/14/23,11/15/23,11/16/23,11/17/23,11/18/23,11/19/23,11/20/23,11/21/23,11/22/23,11/23/23,11/24/23,11/25/23,11/26/23,11/27/23,11/28/23,11/29/23,11/30/23,12/1/23,12/2/23,12/3/23,12/4/23,12/5/23,12/6/23,12/7/23,12/8/23,12/9/23,12/10/23,12/11/23,12/12/23,12/13/23,12/14/23,12/15/23,12/16/23,12/17/23,12/18/23,12/19/23,12/20/23,12/21/23,12/22/23,12/23/23,12/24/23,12/25/23,12/26/23,12/27/23,12/28/23,12/29/23,12/30/23,12/31/23,SOLI
AL08,CMP Intimo GS,A2A8S,13.02,13.02,,,,,,-,,,,16486,11/27/23,0.274305555555556,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,223,373,472,582,661,-,678,733,773,787,-,-,-,802,829,842,842,844,870,-,871,884,884,884,884,-,-,-,-,884,884,-,-,-,
AL08,CMP Intimo Alo,W9365R,8.01,8.01,,,,,,-,,,,10995,11/8/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,456,684,912,1026,-,1254,1368,1482,1597,1711,-,-,505,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Daily Prod,AL08,-,10.41,10.41,,,,,,-,,,,56862,9/4/23,0.25,,,,PPD,40,-,-,-,-,-,-,-,-,-,171,-,-,-,-,-,86,1360,1408,-,-,755,1576,1201,-,-,-,-,52,239,409,574,698,-,-,821,945,212,959,1112,-,-,1198,1230,512,785,1085,-,-,1195,1296,292,402,-,-,-,549,641,769,861,935,342,-,-,-,456,684,912,1026,-,1254,1368,1482,1597,1711,-,-,709,585,832,963,1046,-,-,1039,223,373,472,582,661,-,678,733,773,787,-,-,-,802,829,842,842,844,870,-,871,884,884,884,884,-,-,-,-,884,884,-,-,-,
Efficiency,AL08,-,,,,,,,,,,,,,,,,,,EFF Row,0.02,-,-,-,-,-,-,-,-,-,0.1,-,-,-,-,-,0.04,0.59,0.61,-,-,0.33,0.69,0.52,-,-,-,-,0.04,0.14,0.25,0.35,0.42,-,-,0.5,0.57,0.13,0.58,0.68,-,-,0.73,0.75,0.26,0.39,0.54,-,-,0.6,0.65,0.18,0.27,-,-,-,0.37,0.44,0.52,0.59,0.64,0.23,-,-,-,0.2,0.3,0.4,0.45,-,0.55,0.6,0.65,0.7,0.75,-,-,0.35,0.36,0.51,0.59,0.64,-,-,0.63,0.16,0.27,0.34,0.41,0.47,-,0.48,0.52,0.55,0.56,-,-,-,0.57,0.59,0.6,0.6,0.6,0.62,-,0.62,0.63,0.63,0.63,0.63,-,-,-,-,0.63,0.63,-,-,-,
AL09,Patagonia,41965,10.97,10.97,,,,,,-,,,,2600,10/23/23,0.543055555555556,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,378,545,689,-,-,-,795,169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL09,Patagonia,45235,7.98,7.98,,,,,,-,,,,6695,11/11/23,0.253472222222222,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,451,-,685,914,1029,1257,1372,-,-,985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL09,Patagonia,45325,10.14,10.14,,,,,,-,,,,40666,9/27/23,0.282638888888889,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400,-,-,-,-,1135,1135,1326,1389,1403,-,-,1405,1406,1432,1441,1438,-,-,771,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,234,1017,1108,1197,-,-,1287,1351,1350,1351,-,-,-,1367,1406,1405,1405,1416,-,-,1441,1441,1441,1441,1442,-,-,-,-,1441,1441,-,-,-,
AL09,Patagonia,45355,7.98,7.98,,,,,,-,,,,5305,10/18/23,0.825694444444444,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,308,1832,1832,-,-,1334,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL09,Patagonia,45390,7.98,7.98,,,,,,-,,,,2061,10/31/23,0.275694444444444,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,384,853,823,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL09,Patagonia,45535,11.24,11.24,,,,,,-,,,,11850,9/20/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,958,-,-,1039,982,780,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,605,1301,1083,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,488,732,921,1003,-,-,1084,825,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Daily Prod,AL09,-,10.31,10.31,,,,,,-,,,,69177,9/20/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,958,-,-,1039,982,1179,-,-,-,-,1135,1135,1326,1389,1403,-,-,1405,1406,1432,1441,1438,-,-,1376,1301,1391,1832,1832,-,-,1359,378,545,689,-,-,-,795,553,853,823,-,-,-,-,-,-,-,-,451,-,685,914,1029,1257,1372,-,-,1032,488,732,921,1003,-,-,1084,1058,1017,1108,1197,-,-,1287,1351,1350,1351,-,-,-,1367,1406,1405,1405,1416,-,-,1441,1441,1441,1441,1442,-,-,-,-,1441,1441,-,-,-,
Efficiency,AL09,-,,,,,,,,,,,,,,,,,,EFF Row,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.59,-,-,0.64,0.6,0.7,-,-,-,-,0.63,0.63,0.74,0.77,0.78,-,-,0.78,0.78,0.8,0.8,0.8,-,-,0.8,0.8,0.8,0.8,0.8,-,-,0.6,0.23,0.33,0.41,-,-,-,0.48,0.27,0.37,0.36,-,-,-,-,-,-,-,-,0.2,-,0.3,0.4,0.45,0.55,0.6,-,-,0.46,0.3,0.45,0.57,0.62,-,-,0.67,0.64,0.56,0.61,0.66,-,-,0.71,0.75,0.75,0.75,-,-,-,0.76,0.78,0.78,0.78,0.79,-,-,0.8,0.8,0.8,0.8,0.8,-,-,-,-,0.8,0.8,-,-,-,
AL10,Patagonia,32045,17.49,17.49,,,,,,-,,,,2060,10/11/23,0.263888888888889,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,398,622,831,-,-,210,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL10,Patagonia,32120,24.54,24.54,,,,,,-,,,,4714,10/2/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,297,447,595,670,819,-,-,893,968,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL10,Patagonia,32125,22.7,22.7,,,,,,-,,,,5865,9/19/23,0.25625,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,350,885,349,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,322,483,644,687,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,306,479,640,714,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL10,Patagonia,32130,26.15,26.15,,,,,,-,,,,6568,10/16/23,0.283333333333333,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,315,453,577,671,742,-,-,824,895,964,1035,-,-,-,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL10,Patagonia,32135,24.28,24.28,,,,,,20231006,,,,187,10/30/23,0.302777777777778,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,187,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL10,Patagonia,40510,30.98,30.98,,,,,,-,,,,4277,9/13/23,0.347222222222222,,,,PPD,-,-,-,-,-,-,-,-,-,61,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,392,569,727,-,834,992,647,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL10,Patagonia,41880,23.31,23.31,,,,,,-,,,,3381,9/4/23,0.25,,,,PPD,242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,315,-,-,470,628,706,767,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL10,Patagonia,41930,15.99,15.99,,,,,,-,,,,3050,12/21/23,0.263888888888889,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,435,680,-,-,-,-,909,1026,-,-,-,
AL10,Patagonia,41935,24.48,24.48,,,,,,-,,,,2678,11/16/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,298,448,-,-,597,672,664,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL10,Patagonia,64810,33.3,33.3,,,,,,-,,,,2060,11/4/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,329,-,493,658,580,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL10,Patagonia,82840,20.58,20.58,,,,,,-,,,,-,1/18/24,0.542361111111111,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL10,Arcteryx,X000008652,24.99,24.99,,,,,,-,,,,4487,12/11/23,0.265277777777778,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,162,353,465,580,662,-,-,699,749,796,19,-,-,-,-,-,-,-,-,-,-,
Daily Prod,AL10,-,24.42,24.42,,,,,,-,,,,39327,9/4/23,0.25,,,,PPD,242,-,-,-,-,-,-,-,-,61,-,38,-,-,-,6,350,885,349,-,-,253,-,-,-,-,-,-,297,447,595,670,819,-,-,893,968,422,622,831,-,-,525,453,577,671,742,-,-,824,895,964,1035,-,-,-,279,322,483,644,687,329,-,493,658,596,392,569,727,-,834,992,647,298,448,-,-,597,672,664,-,-,-,-,306,479,640,714,315,-,-,470,628,706,767,-,-,-,162,353,465,580,662,-,-,699,749,796,455,680,-,-,-,-,909,1026,-,-,-,
Efficiency,AL10,-,,,,,,,,,,,,,,,,,,EFF Row,0.1,-,-,-,-,-,-,-,-,0.03,-,0.03,-,-,-,-,0.22,0.55,0.22,-,-,0.16,-,-,-,-,-,-,0.2,0.3,0.4,0.45,0.55,-,-,0.6,0.65,0.21,0.3,0.4,-,-,0.33,0.33,0.41,0.48,0.53,-,-,0.59,0.64,0.69,0.74,-,-,-,0.19,0.2,0.3,0.4,0.43,0.2,-,0.3,0.4,0.36,0.22,0.32,0.41,-,0.47,0.56,0.37,0.2,0.3,-,-,0.4,0.45,0.44,-,-,-,-,0.19,0.3,0.4,0.44,0.2,-,-,0.3,0.4,0.45,0.49,-,-,-,0.11,0.24,0.32,0.4,0.45,-,-,0.48,0.51,0.54,0.2,0.3,-,-,-,-,0.4,0.45,-,-,-,
AL12,Patagonia,45160,8.7,8.7,,,,,,-,,,,13,9/26/23,0.697222222222222,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL12,Patagonia,45250,7.98,7.98,,,,,,-,,,,1495,9/21/23,0.352083333333333,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1495,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL12,Patagonia,45355,7.98,7.98,,,,,,-,,,,3649,9/22/23,0.718055555555556,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,577,-,-,1857,1214,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL12,Patagonia,45365,7.98,7.98,,,,,,-,,,,12876,12/11/23,0.344444444444444,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,181,602,831,988,1174,1331,-,1446,1560,1674,1717,1372,-,-,-,-,-,-,-,-,-,
Daily Prod,AL12,-,8.08,8.08,,,,,,-,,,,18033,9/21/23,0.344444444444444,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1495,577,-,-,1857,1227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,181,602,831,988,1174,1331,-,1446,1560,1674,1717,1372,-,-,-,-,-,-,-,-,-,
Efficiency,AL12,-,,,,,,,,,,,,,,,,,,EFF Row,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.65,0.25,-,-,0.81,0.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.08,0.26,0.36,0.43,0.51,0.58,-,0.63,0.68,0.73,0.75,0.6,-,-,-,-,-,-,-,-,-,
AL13,Patagonia,45250,7.98,7.98,,,,,,-,,,,5511,10/6/23,0.754166666666667,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,827,-,-,3286,1399,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL13,Arcteryx,X000007664,16.84,16.84,,,,,,-,,,,919,12/22/23,0.255555555555556,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,114,-,-,-,-,341,464,-,-,-,
AL13,Arcteryx,X000007730,21.59,21.59,,,,,,-,,,,5117,11/29/23,0.299305555555556,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140,392,528,-,-,659,769,808,863,-,-,-,917,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL13,Arcteryx,X000007731,28.96,28.96,,,,,,-,,,,9021,11/7/23,0.345138888888889,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,257,370,466,554,-,599,630,675,700,713,-,-,732,751,757,757,769,-,-,245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL13,Arcteryx,X000007738,14.98,14.98,,,,,,-,,,,5116,12/14/23,0.261805555555556,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205,566,-,-,762,951,1109,1165,358,-,-,-,-,-,-,-,-,-,
AL13,Arcteryx,X000009002,27.48,27.48,,,,,,-,,,,16739,9/14/23,0.0284722222222222,,,,PPD,-,-,-,-,-,-,-,-,-,-,34,34,-,-,-,290,727,1130,1134,811,-,1295,749,748,-,-,-,-,764,778,785,795,596,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,438,545,625,-,-,-,638,691,731,744,758,784,-,114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Daily Prod,AL13,-,22.2,22.2,,,,,,-,,,,42423,9/14/23,0.0284722222222222,,,,PPD,-,-,-,-,-,-,-,-,-,-,34,34,-,-,-,290,727,1130,1134,811,-,1295,749,748,-,-,-,-,764,778,785,795,1422,-,-,3286,1399,-,-,-,-,-,-,-,-,-,-,-,-,-,438,545,625,-,-,-,638,691,731,744,758,784,-,114,46,257,370,466,554,-,599,630,675,700,713,-,-,732,751,757,757,769,-,-,245,-,140,392,528,-,-,659,769,808,863,-,-,-,917,40,-,205,566,-,-,762,951,1109,1165,472,-,-,-,-,341,464,-,-,-,
Efficiency,AL13,-,,,,,,,,,,,,,,,,,,EFF Row,-,-,-,-,-,-,-,-,-,-,0.03,0.03,-,-,-,0.22,0.55,0.6,0.6,0.61,-,0.69,0.56,0.56,-,-,-,-,0.57,0.59,0.59,0.6,0.63,-,-,0.72,0.31,-,-,-,-,-,-,-,-,-,-,-,-,-,0.33,0.41,0.47,-,-,-,0.48,0.52,0.55,0.56,0.57,0.59,-,0.09,0.04,0.2,0.29,0.37,0.44,-,0.47,0.5,0.53,0.55,0.56,-,-,0.58,0.6,0.6,0.6,0.61,-,-,0.19,-,0.08,0.23,0.31,-,-,0.39,0.45,0.48,0.51,-,-,-,0.54,0.02,-,0.08,0.23,-,-,0.31,0.39,0.45,0.48,0.2,-,-,-,-,0.16,0.21,-,-,-,
AL15,Patagonia,24811,21.8,21.8,,,,,,-,,,,876,11/3/23,0.934722222222222,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,210,-,336,330,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL15,Patagonia,24827,22.88,22.88,,,,,,-,,,,927,11/1/23,0.277083333333333,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,182,314,431,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
