Module,Customer,Style,Total SMV,Sewing SMV,SO#,LI,Sewing Stage,Colour,E,P,D/W,LC,Product Type,Buy Month,Season,Customer PO,Chassis ID,CWN,PO Type,Del. Date,Rev Del Date,Ord Qty,Planned Qty,Total Planned,Strip Planned,PSD,Prod Start Time,PED,Avg Per Day,FIH,1,9/4/23,9/5/23,9/6/23,9/7/23,9/8/23,9/9/23,9/10/23,9/11/23,9/12/23,9/13/23,9/14/23,9/15/23,9/16/23,9/17/23,9/18/23,9/19/23,9/20/23,9/21/23,9/22/23,9/23/23,9/24/23,9/25/23,9/26/23,9/27/23,9/28/23,9/29/23,9/30/23,10/1/23,10/2/23,10/3/23,10/4/23,10/5/23,10/6/23,10/7/23,10/8/23,10/9/23,10/10/23,10/11/23,10/12/23,10/13/23,10/14/23,10/15/23,10/16/23,10/17/23,10/18/23,10/19/23,10/20/23,10/21/23,10/22/23,10/23/23,10/24/23,10/25/23,10/26/23,10/27/23,10/28/23,10/29/23,10/30/23,10/31/23,11/1/23,11/2/23,11/3/23,11/4/23,11/5/23,11/6/23,11/7/23,11/8/23,11/9/23,11/10/23,11/11/23,11/12/23,11/13/23,11/14/23,11/15/23,11/16/23,11/17/23,11/18/23,11/19/23,11/20/23,11/21/23,11/22/23,11/23/23,11/24/23,11/25/23,11/26/23,11/27/23,11/28/23,11/29/23,11/30/23,12/1/23,12/2/23,12/3/23,12/4/23,12/5/23,12/6/23,12/7/23,12/8/23,12/9/23,12/10/23,12/11/23,12/12/23,12/13/23,12/14/23,12/15/23,12/16/23,12/17/23,12/18/23,12/19/23,12/20/23,12/21/23,12/22/23,12/23/23,12/24/23,12/25/23,12/26/23,12/27/23,12/28/23,12/29/23,12/30/23,12/31/23,SOLI
AL05,LACOSTE,TH9561,12.66,12.66,1001020626,10,Stitch,BBB,-,-,-,-,T-shirt,2023_7_1,AAF,7244326-5,BTCNATOSFLOZ0PSH0V,IGM,X075,12/2/23,-,1800,1890,1890,1890,11/11/23,10:24 AM,11/13/23,945,20231018,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1162,-,728,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020626::10
AL05,LACOSTE,TH9561,12.66,12.66,1001020623,10,Stitch,BBB,-,-,-,-,T-shirt,2023_7_1,AAF,7244324-4,BTCNATOSFLOZ0PSH0V,IGM,X075,12/2/23,-,6050,6353,6353,6353,11/13/23,1:04 PM,11/17/23,1271,20231018,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,941,1715,1732,1732,234,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020623::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020557,10,Stitch,LADIGE,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244318-11,BTCNATTSCLOZ0PSH0V,IXW,X077,11/24/23,-,286,300,300,300,11/17/23,8:11 AM,11/18/23,150,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,238,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020557::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020482,10,Stitch,LADIGE,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244261-12,BTCNATTSCLOZ0PSH0V,IXW,X077,11/24/23,-,345,362,362,362,11/18/23,7:59 AM,11/18/23,362,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,362,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020482::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020617,10,Stitch,HYDRO,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244316-1,BTCNATTSCLOZ0PSH0V,IY4,X075,11/24/23,-,60,63,63,63,11/18/23,7:37 PM,11/18/23,63,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020617::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020613,10,Stitch,HYDRO,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244306-2,BTCNATTSCLOZ0PSH0V,IY4,X075,11/24/23,-,150,158,158,158,11/18/23,9:22 PM,11/20/23,79,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020613::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020558,10,Stitch,HYDRO,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244318-12,BTCNATTSCLOZ0PSH0V,IY4,X077,11/24/23,-,286,300,300,300,11/20/23,8:57 AM,11/20/23,300,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020558::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020540,10,Stitch,HYDRO,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244308-2,BTCNATTSCLOZ0PSH0V,IY4,X077,11/24/23,-,350,368,368,368,11/20/23,4:21 PM,11/21/23,184,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,252,116,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020540::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020511,10,Stitch,HYDRO,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244281-2,BTCNATTSCLOZ0PSH0V,IY4,X077,11/24/23,-,400,420,420,420,11/21/23,8:14 AM,11/21/23,420,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,420,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020511::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020483,10,Stitch,HYDRO,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244261-13,BTCNATTSCLOZ0PSH0V,IY4,X077,11/24/23,-,547,574,574,574,11/21/23,4:26 PM,11/22/23,287,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,310,264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020483::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020380,10,Stitch,HYDRO,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244256-6,BTCNATTSCLOZ0PSH0V,IY4,X077,12/2/23,-,7,7,7,7,11/22/23,10:10 AM,11/22/23,7,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020380::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020475,10,Stitch,HYDRO,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244300-5,BTCNATTSCLOZ0PSH0V,IY4,X075,12/2/23,-,47,49,49,49,11/22/23,10:16 AM,11/22/23,49,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020475::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020648,10,Stitch,HYDRO,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244337-9,BTCNATTSCLOZ0PSH0V,IY4,X075,12/2/23,-,190,200,200,200,11/22/23,11:30 AM,11/22/23,200,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020648::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020410,10,Stitch,HYDRO,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244277-5,BTCNATTSCLOZ0PSH0V,IY4,X075,12/2/23,-,4,4,4,4,11/22/23,2:43 PM,11/22/23,4,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020410::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020467,10,Stitch,HYDRO,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244298-12,BTCNATTSCLOZ0PSH0V,IY4,X075,12/2/23,-,2899,3044,3044,3044,11/22/23,2:46 PM,11/25/23,761,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,454,1013,1089,489,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020467::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020466,10,Stitch,LADIGE,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244298-11,BTCNATTSCLOZ0PSH0V,IXW,X075,12/2/23,-,2001,2101,2101,2101,11/25/23,12:53 PM,11/28/23,700,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,666,-,1182,253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020466::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020425,10,Stitch,LADIGE,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244283-9,BTCNATTSCLOZ0PSH0V,IXW,X075,12/8/23,-,50,53,53,53,11/28/23,9:18 AM,11/28/23,53,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020425::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020434,10,Stitch,LADIGE,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244285-11,BTCNATTSCLOZ0PSH0V,IXW,X075,12/8/23,-,200,210,210,210,11/28/23,9:56 AM,11/28/23,210,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,210,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020434::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020585,10,Stitch,LADIGE,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244342-8,BTCNATTSCLOZ0PSH0V,IXW,X077,12/19/23,-,30,32,32,32,11/28/23,12:57 PM,11/28/23,32,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020585::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020509,10,Stitch,HYDRO,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244280-1,BTCNATTSCLOZ0PSH0V,IY4,X077,12/8/23,-,53,56,56,56,11/28/23,1:21 PM,11/28/23,56,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020509::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020538,10,Stitch,LADIGE,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244307-8,BTCNATTSCLOZ0PSH0V,IXW,X077,12/8/23,-,400,420,420,420,11/28/23,2:16 PM,11/28/23,420,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,420,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020538::10
AL05,LACOSTE,TH7545,17.27,17.27,1001020546,10,Stitch,LADIGE,-,-,-,-,T-shirt Crew neck,2023_7_1,AAF,7244315-11,BTCNATTSCLOZ0PSH0V,IXW,X077,12/8/23,-,400,420,420,420,11/28/23,8:05 PM,11/29/23,210,20231025,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001020546::10
AL05,LACOSTE,TH1797,18.83,18.83,1000941176,20,Stitch,RIH,-,-,-,-,T-shirt,2022_11_2,AAJ,7242806-1,PTFNATOSNKCQOZ0PSH0V,RIH,X075,12/6/23,20231212,393,413,413,413,11/29/23,9:04 AM,11/30/23,206,20231015,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,189,224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000941176::20
AL05,LACOSTE,TH1797,18.83,18.83,1000941314,40,Stitch,RIH,-,-,-,-,T-shirt,2022_11_2,AAJ,7242805-1,PTFNATOSNKCQOZ0PSH0V,RIH,X075,12/6/23,20230620,283,297,297,297,11/30/23,2:01 PM,12/1/23,148,20231015,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,239,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000941314::40
AL05,LACOSTE,TH9561,12.66,12.66,1001034626,10,Stitch,HSZ,-,-,-,-,T-shirt,2023_8_1,AAF,7247528-1,BTCNATOSFLOZ0PSH0V,HSZ,X075,1/10/24,-,963,1011,1011,1011,12/1/23,7:22 AM,12/4/23,506,20231115,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,355,-,-,656,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001034626::10
AL05,LACOSTE,TH9561,12.66,12.66,1001034632,10,Stitch,HSZ,-,-,-,-,T-shirt,2023_8_1,AAF,7247530-1,BTCNATOSFLOZ0PSH0V,HSZ,X075,1/10/24,-,826,867,867,867,12/4/23,8:58 PM,12/5/23,434,20231115,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,803,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001034632::10
AL05,LACOSTE,TH9561,12.66,12.66,1001034634,10,Stitch,IGM,-,-,-,-,T-shirt,2023_8_1,AAF,7247530-2,BTCNATOSFLOZ0PSH0V,IGM,X075,1/10/24,-,576,605,605,605,12/5/23,8:14 PM,12/6/23,302,20231115,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130,475,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001034634::10
AL05,LACOSTE,TH9561,12.66,12.66,1001034629,10,Stitch,IGM,-,-,-,-,T-shirt,2023_8_1,AAF,7247528-2,BTCNATOSFLOZ0PSH0V,IGM,X075,1/10/24,-,709,744,744,744,12/6/23,12:41 PM,12/7/23,372,20231115,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,686,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001034629::10
AL05,Patagonia,45355,7.98,7.98,1001049104,10,Stitch,BLAF,-,1,-,-,T-shirt Baselayer,2023_8_5,AAT,460615,,BLAF,X014,1/15/24,-,5500,5665,5665,5665,12/11/23,6:00 AM,12/18/23,944,20231124,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,572,915,1259,1374,1488,-,-,57,-,-,-,-,-,-,-,-,-,-,-,-,-,1001049104::10
AL05,Patagonia,45355,7.98,7.98,1001050531,10,Stitch,BLAF,-,1,-,-,T-shirt Baselayer,2023_8_5,AAT,460616,,BLAF,X014,1/15/24,-,5000,5150,5150,5150,12/18/23,6:31 AM,12/21/23,1288,20231124,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1545,1717,1717,171,-,-,-,-,-,-,-,-,-,-,1001050531::10
AL05,Patagonia,45355,7.98,7.98,1001050531,20,Stitch,BLSA,-,1,-,-,T-shirt Baselayer,2023_8_5,AAT,460616,,BLSA,X014,1/15/24,-,6750,6953,6953,6835,12/21/23,7:26 AM,1/2/24,1709,20231124,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1547,1717,-,-,-,-,1786,1786,-,-,-,1001050531::20
Daily Prod,AL05,TH9561,12.75,12.75,,,,,,,,,,,,,,,,,-,,,,24772,9/27/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,301,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,432,-,-,-,750,952,776,561,832,1045,-,1253,1368,1432,1536,1598,1628,-,1669,1715,1732,1732,234,-,-,-,-,-,-,-,-,-,-,-,-,-,355,-,-,720,933,1161,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Efficiency,AL05,TH9561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EFF Row,0.2,-,-,-,-,-,-,-,-,-,-,0.02,-,-,-,-,0.03,0.75,0.42,-,-,0.75,0.4,0.11,-,-,-,-,0.15,0.26,0.33,0.18,0.24,-,-,0.32,0.4,0.46,0.48,0.51,-,-,0.54,0.56,0.57,0.59,0.6,-,-,0.6,0.6,0.02,0.15,-,-,-,0.26,0.33,0.27,0.19,0.29,0.36,-,0.43,0.47,0.5,0.53,0.55,0.56,-,0.58,0.59,0.6,0.6,0.19,0.25,-,0.32,0.4,0.46,0.48,0.51,0.55,-,0.56,0.57,0.21,0.24,0.15,-,-,0.25,0.32,0.4,0.02,-,-,-,0.25,0.4,0.55,0.6,0.65,-,-,0.7,0.75,0.75,0.75,0.75,-,-,-,-,0.78,0.78,-,-,-,
