Factory,GROUP,TEAM,PERMANENT,CASUAL,F.PERMANT,F.CASUAL,LC. TYPE,CUSTOMER,STYLE,ITEM ID,STYLE FAMILY,SMV,DAY,WORK HRS,AVA. DIRECT HRS,FC AVA. DIRECT HRS,PROJECTED HRS,LC. HRS,C OUT HRS,C OUT HRS PROJECTED,LC. OUTPUT,F. OUTPUT,OUTPUT,PLN. PCS,LC. EFF,FC. EFF,C OUT EFF,ILQ %,IDLE HRS,LA EFF Variance,LA HRS Variance,LA PCS Variance,Capacity,CAP Efficiency,LRN vs Capacity EFF
CMW,CMW,TEAM 04,24,0,0,0,LN-BRA,MnS,11 MnST33 2106H3-WT23,11 MnST33 2106H3-WT23,BRA,11.96,43,0,5.816666667,0,0,5.816666667,5.780666667,5.780666667,0,0,29,0,100.00%,0.00%,99.38%,0.00%,60,-0.62%,-0.036,29,0,0.00%,100.00%
CMCG,CMCG,TEAM 05,27,0,25,0,LR-BRA,MnS,11 MnST52 7472C4-SP24,11 MnST52 7472C4-SP24,BRA,19.31,12,9,243.0166667,225,188.27,199.2736667,154.48,-33.79,573,585,480,573,82.00%,83.68%,63.57%,27.34%,0,-18.43%,-44.79366667,-93,585,83.68%,-1.68%
CME,CME-SEWING-1,TEAM 05,17,0,18,0,LR-OP,DEC,11 DEC1SK 340538SG3-AW23,11 DEC1SK 340538SG3-AW23,JACKET,9.92,53,9,152.9833333,162,162.03,152.9833333,162.0266667,-0.003333333,979.84,980,980,1271,100.00%,100.02%,105.91%,37.13%,0,5.91%,9.043333333,0.16,980,100.02%,-0.02%
CMGM,CMM,TEAM 05,27,0,27,0,FN-OP,DEC,11 DEC1SK 346455D4-SS24,11 DEC1SK 346455D4-SS24,LINGERIE,6.75,7,9,234.8666667,243,208.13,171.4526667,270,61.87,1576.8,1850,2400,1263,73.00%,85.65%,114.96%,6.70%,0,41.96%,98.54733333,823.2,1850,85.65%,-12.65%
CMW,CMW,TEAM 05,25,0,25,0,LN-BRA,MnS,11 MnST52 5913BC4-SP24,11 MnST52 5913BC4-SP24,BRA,16.68,7,8,201.6,200,136.22,141.12,36.974,-99.246,503.6,490,133,507,70.00%,68.11%,18.34%,14.93%,60,-51.66%,-104.146,-370.6,490,68.11%,1.89%
CMCG,CMCG,TEAM 06,24,0,27,0,FN-BRA,MnS,11 MnST52 8947C4-SP24,11 MnST52 8947C4-SP24,BRA,25.39,8,9,214.8,243,169.27,150.36,181.1153333,11.84533333,402,400,428,395,70.00%,69.66%,84.32%,30.46%,0,14.32%,30.75533333,26,405,70.53%,-0.53%
CME,CME-SEWING-1,TEAM 06,24,0,25,0,LR-OP,DEC,11 DEC1SK 333276D3-SS23,11 DEC1SK 333276D3-SS23,SWIMWEAR,15.43,96,9,216.0166667,225,225.02,216.0166667,228.1068333,3.086833333,874.92,875,887,779,100.00%,100.01%,105.60%,16.15%,0,5.60%,12.09016667,12.08,875,100.01%,-0.01%
CMGM,CMM,TEAM 06,22,0,22,0,LR-OP,DEC,11 DEC1SK 345933D4-SS24,11 DEC1SK 345933D4-SS24,SKINNY,5.96,54,9,195.6833333,198,198.07,195.6833333,190.2233333,-7.846666667,1993.29,1994,1915,2066,100.00%,100.04%,97.21%,34.08%,0,-2.79%,-5.46,-78.29,1994,100.04%,-0.04%
CMCG,CMCG,TEAM 07,26,0,24,0,FN-BRA,MnS,11 MnST52 0934C4-SP24,11 MnST52 0934C4-SP24,BRA,20.9,8,9,230.0166667,216,146.3,161.0116667,153.2666667,6.966666667,434,420,440,365,70.00%,67.73%,66.63%,38.13%,0,-3.37%,-7.745,6,423,68.22%,1.78%
CMCG,CMCG,TEAM 07,26,0,0,0,LN-OP,MnS,11 MnST52 0933C4-SP24,11 MnST52 0933C4-SP24,BRA,21.24,7,0,0.533333333,0,0,0.405333333,0.354,0.354,0,0,1,0,76.00%,0.00%,66.38%,0.00%,0,-9.63%,-0.051333333,1,0,0.00%,76.00%
CME,CME-SEWING-1,TEAM 07,20,0,19,0,FN-OP,DEC,11 DEC1SK 307414SD4-SS24,11 DEC1SK 307414SD4-SS24,SWIMWEAR,7.16,6,9,180.95,171,121.48,128.4745,143.2,21.72,1017.4,1018,1200,287,71.00%,71.04%,79.14%,4.46%,0,8.14%,14.7255,182.6,1018,71.04%,-0.04%
CMW,CMW,TEAM 07,25,0,26,0,FN-BRA,MnS,11 MnST52 0975C4-SP24,11 MnST52 0975C4-SP24,BRA,15.98,4,8,171.2333333,208,129.17,111.3016667,110.7946667,-18.37533333,507.63,485,416,555,65.00%,62.10%,64.70%,14.58%,60,-0.30%,-0.507,-91.63,485,62.10%,2.90%
CMCG,CMCG,TEAM 08,24,0,18,0,LN-OP,MnS,11 MnST41 6237CC4-SP24,11 MnST41 6237CC4-SP24,JACKET,9.47,5,9,218.2333333,162,120.74,157.128,100.4681667,-20.27183333,739,765,617,717,72.00%,74.53%,46.04%,0.00%,0,-25.96%,-56.65983333,-122,765,74.53%,-2.53%
CME,CME-SEWING-1,TEAM 08,23,0,23,0,LN-OP,DEC,11 DEC1SK 306354D3-SS23,11 DEC1SK 306354D3-SS23,SWIMWEAR,14.88,1,9,61.85,207,114.08,24.1215,21.824,-92.256,325.52,460,88,287,39.00%,55.11%,35.29%,0.00%,0,-3.71%,-2.2975,-237.52,460,55.11%,-16.11%
CME,CME-SEWING-1,TEAM 08,23,0,0,0,LR-OP,DEC,11 DEC1SK 327463SD3-SS23,11 DEC1SK 327463SD3-SS23,SWIMWEAR,14.23,1,0,145.1666667,0,0,72.58333333,51.228,51.228,0,0,216,0,50.00%,0.00%,35.29%,2.38%,0,-14.71%,-21.35533333,216,0,0.00%,50.00%
CMGM,CMM,TEAM 08,23,0,23,0,LR-OP,DEC,11 DEC1SK 345933D4-SS24,11 DEC1SK 345933D4-SS24,SKINNY,5.96,11,9,204.95,207,198.67,184.455,205.62,6.95,1875.5,2000,2070,1808,90.00%,95.97%,100.33%,16.85%,0,10.33%,21.165,194.5,2000,95.97%,-5.97%
CMW,CMW,TEAM 08,35,0,36,0,FN-BRA,MnS,11 MnST52 0974C4-SP24,11 MnST52 0974C4-SP24,BRA,36.27,4,8,275.8166667,288,187.4,179.2808333,62.868,-124.532,309.68,310,104,284,65.00%,65.07%,22.79%,15.00%,60,-42.21%,-116.4128333,-205.68,310,65.07%,-0.07%
CMCG,CMCG,TEAM 09,24,0,20,0,FN-OP,MnS,11 MnST41 3988CC4-SP24,11 MnST41 3988CC4-SP24,JACKET,20.96,3,9,214.8166667,180,119.47,135.3345,100.9573333,-18.51266667,325,342,289,264,63.00%,66.37%,47.00%,36.21%,0,-16.00%,-34.37716667,-36,342,66.37%,-3.37%
CME,CME-SEWING-1,TEAM 09,17,0,17,0,FN-OP,DEC,11 DEC1SK 334915D4-SS24,11 DEC1SK 334915D4-SS24,LINGERIE,6.86,1,9,19.11666667,153,76.6,6.882,13.72,-62.88,481.75,670,120,548,36.00%,50.07%,71.77%,0.00%,0,35.77%,6.838,-361.75,670,50.07%,-14.07%
