Factory,GROUP,TEAM,PERMANENT,CASUAL,F.PERMANT,F.CASUAL,LC. TYPE,CUSTOMER,STYLE,ITEM ID,STYLE FAMILY,SMV,DAY,WORK HRS,AVA. DIRECT HRS,FC AVA. DIRECT HRS,PROJECTED HRS,LC. HRS,C OUT HRS,C OUT HRS PROJECTED,LC. OUTPUT,F. OUTPUT,OUTPUT,PLN. PCS,LC. EFF,FC. EFF,C OUT EFF,ILQ %,IDLE HRS,LA EFF Variance,LA HRS Variance,LA PCS Variance,Capacity,CAP Efficiency,LRN vs Capacity EFF
CMCG,CMCG,TEAM 15,24,0,24,0,FN-BRA,MnS,11 MnST52 8979C4-SP24,11 MnST52 8979C4-SP24,SWIMWEAR,21.6,1,9,203.9833333,216,64.8,50.99583333,64.8,0,150,180,180,135,25.00%,30.00%,31.77%,0.00%,0,6.77%,13.80416667,30,180,30.00%,-5.00%
CMCG,CMCG,TEAM 15,24,0,0,0,LN-BRA,MnS,11 MnST52 0933C4-SP24,11 MnST52 0933C4-SP24,BRA,21.24,4,0,7.816666667,0,0,5.159,2.478,2.478,0,0,7,0,66.00%,0.00%,31.70%,0.00%,0,-34.30%,-2.681,7,0,0.00%,66.00%
CME,CME-SEWING-2,TEAM 15,17,0,17,0,LR-OP,DEC,11 DEC1SK 340538SG3-AW23,11 DEC1SK 340538SG3-AW23,JACKET,9.92,54,9,153,153,153.1,153,157.3973333,4.297333333,925.4,926,952,0,100.00%,100.06%,102.87%,39.24%,0,2.87%,4.397333333,26.6,926,100.06%,-0.06%
CMCG,CMCG,TEAM 16,20,0,27,0,LN-OP,NEX,11 NEXSK1 OH0348BC4-SP24,11 NEXSK1 OH0348BC4-SP24,PANT,13.31,4,9,180.0333333,243,177.47,124.223,184.1216667,6.651666667,756,800,830,801,69.00%,73.03%,102.27%,47.92%,0,33.27%,59.89866667,74,800,73.03%,-4.03%
CME,CME-SEWING-2,TEAM 16,21,0,22,0,LN-OP,DEC,11 DEC1SK 306391D3-SS23,11 DEC1SK 306391D3-SS23,SWIMWEAR,13.5,7,9,188.9833333,198,168.75,143.6273333,211.5,42.75,668.8,750,940,632,76.00%,85.23%,111.91%,16.94%,0,35.91%,67.87266667,271.2,750,85.23%,-9.23%
CMCG,CMCG,TEAM 17,25,0,26,0,FN-BRA,GSS,11 GSSSLL GS037C3-SP23,11 GSSSLL GS037C3-SP23,SWIMWEAR,14.89,1,5,123.4,130,26.8,30.85,26.30566667,-0.494333333,131,108,106,72,25.00%,20.62%,21.32%,10.88%,0,-3.68%,-4.544333333,-25,108,20.62%,4.38%
CMCG,CMCG,TEAM 17,25,0,0,0,LN-OP,DEC,11 DEC1SK 333399D3-SS23,11 DEC1SK 333399D3-SS23,TOP ACTIVE,16.46,2,0,7.716666667,0,0,4.244166667,1.646,1.646,0,0,6,0,55.00%,0.00%,21.33%,0.00%,0,-33.67%,-2.598166667,6,0,0.00%,55.00%
CMCG,CMCG,TEAM 17,25,0,0,0,LN-OP,DEC,11 DEC1SK 333445D3-SS23,11 DEC1SK 333445D3-SS23,PANT,9.88,2,0,3.866666667,0,0,2.126666667,0.823333333,0.823333333,0,0,5,0,55.00%,0.00%,21.29%,0.00%,0,-33.71%,-1.303333333,5,0,0.00%,55.00%
CMCG,CMCG,TEAM 17,25,0,26,0,LN-OP,DEC,11 DEC1SK 340203D3-SS23,11 DEC1SK 340203D3-SS23,SHORT,8.16,1,4,89.98333333,104,20.4,35.0935,19.176,-1.224,298,150,141,214,39.00%,19.62%,21.31%,33.27%,0,-17.69%,-15.9175,-157,150,19.62%,19.38%
CME,CME-SEWING-2,TEAM 17,19,0,19,0,FN-OP,DEC,11 DEC1SK 340538SG3-AW23,11 DEC1SK 340538SG3-AW23,JACKET,9.92,87,9,170.4833333,171,171.12,170.4833333,181.04,9.92,1034.27,1035,1095,1271,100.00%,100.07%,106.19%,31.91%,0,6.19%,10.55666667,60.73,1035,100.07%,-0.07%
CMCG,CMCG,TEAM 18,27,0,27,0,LR-OP,DEC,11 DEC1SK 335642D3-SS23,11 DEC1SK 335642D3-SS23,SWIMWEAR,18.03,1,9,243.0166667,243,123.21,121.5083333,125.3085,2.0985,404,410,417,230,50.00%,50.70%,51.56%,6.53%,0,1.56%,3.800166667,13,410,50.70%,-0.70%
CME,CME-SEWING-2,TEAM 18,0,0,25,0,LR-OP,DEC,11 DEC1SK 340556SG3-AW23,11 DEC1SK 340556SG3-AW23,BOTTOM,10.19,1,3,0,75,37.19,0,0,-37.19,220.8,219,0,0,50.00%,49.59%,0.00%,0.00%,0,0.00%,0,-220.8,219,49.59%,NaN
CME,CME-SEWING-2,TEAM 18,24,0,25,0,LR-OP,DEC,11 DEC1SK 340509SG3-AW23,11 DEC1SK 340509SG3-AW23,BOTTOM,11.3,1,6,216.5333333,150,70.63,108.2666667,0,-70.63,398.23,375,0,579,50.00%,47.08%,0.00%,5.21%,0,-50.00%,-108.2666667,-398.23,375,47.08%,2.92%
CMCG,CMCG,TEAM 19,22,0,25,0,FN-BRA,MnS,11 MnST52 0968C4-SP24,11 MnST52 0968C4-SP24,BRA,21.24,4,9,198.0333333,225,127.44,128.7216667,113.28,-14.16,413,360,320,303,65.00%,56.64%,57.20%,21.88%,0,-7.80%,-15.44166667,-93,378,59.47%,5.53%
CME,CME-SEWING-2,TEAM 19,18,0,18,0,LN-OP,DEC,11 DEC1SK 340538SG3-AW23,11 DEC1SK 340538SG3-AW23,JACKET,9.92,9,9,162.0333333,162,129.62,129.6266667,134.912,5.292,783.87,784,816,766,80.00%,80.01%,83.26%,39.32%,0,3.26%,5.285333333,32.13,784,80.01%,-0.01%
CMCG,CMCG,TEAM 20,17,0,0,0,FN-BRA,MnS,11 MnST52 9772LC4-SP24,11 MnST52 9772LC4-SP24,PANT,6.98,3,0,1.1,0,0,0.682,0.349,0.349,0,0,3,0,62.00%,0.00%,31.73%,0.00%,0,-30.27%,-0.333,3,0,0.00%,62.00%
CMCG,CMCG,TEAM 20,17,0,14,0,LN-OP,NEX,11 NEXSK1 OG934FG3-AW23,11 NEXSK1 OG934FG3-AW23,PANT,5.2,2,9,153.35,126,62.4,84.3425,48.53333333,-13.86666667,800,720,560,710,55.00%,49.52%,31.65%,29.45%,0,-23.35%,-35.80916667,-240,743,51.11%,3.89%
CME,CME-SEWING-2,TEAM 20,9,0,5,0,LN-OP,DEC,11 DEC1SK 73114D3-SS23,11 DEC1SK 73114D3-SS23,LEISURE,2.14,11,9,80.98333333,45,37.81,68.026,38.34166667,0.531666667,1059.81,1060,1075,0,84.00%,84.01%,47.35%,14.06%,0,-36.65%,-29.68433333,15.19,1060,84.01%,-0.01%
CMCG,CMCG,TEAM 21,23,0,24,0,FN-OP,NEX,11 NEXSK1 LNX30039C4-SP24,11 NEXSK1 LNX30039C4-SP24,LEGIN,12.63,1,6,200.1666667,144,40.42,72.06,39.574,-0.846,246,192,188,276,36.00%,28.07%,19.77%,0.00%,0,-16.23%,-32.486,-58,192,28.07%,7.93%
CMCG,CMCG,TEAM 21,23,0,24,0,LN-OP,DEC,11 DEC1SK 117080SD3-SS23,11 DEC1SK 117080SD3-SS23,PANT,9.71,1,3,4.1,72,15.54,1.599,0.809166667,-14.73083333,174,96,5,276,39.00%,21.58%,19.74%,0.00%,0,-19.26%,-0.789833333,-169,96,21.58%,17.42%
