Module,Customer,Style,Total SMV,Sewing SMV,SO#,LI,Sewing Stage,Colour,E,P,D/W,LC,Product Type,Buy Month,Season,Customer PO,Chassis ID,CWN,PO Type,Del. Date,Rev Del Date,Ord Qty,Planned Qty,Total Planned,Strip Planned,PSD,Prod Start Time,PED,Avg Per Day,Actual Per Day,Defect Qty,Rejected Qty,Missing Qty,Defect Name,Defect Category,FIH,,9/4/2023,9/5/2023,9/6/2023,9/7/2023,9/8/2023,9/9/2023,9/10/2023,9/11/2023,9/12/2023,9/13/2023,9/14/2023,9/15/2023,9/16/2023,9/17/2023,9/18/2023,9/19/2023,9/20/2023,9/21/2023,9/22/2023,9/23/2023,9/24/2023,9/25/2023,9/26/2023,9/27/2023,9/28/2023,9/29/2023,9/30/2023,10/1/2023,10/2/2023,10/3/2023,10/4/2023,10/5/2023,10/6/2023,10/7/2023,10/8/2023,10/9/2023,10/10/2023,10/11/2023,10/12/2023,10/13/2023,10/14/2023,10/15/2023,10/16/2023,10/17/2023,10/18/2023,10/19/2023,10/20/2023,10/21/2023,10/22/2023,10/23/2023,10/24/2023,10/25/2023,10/26/2023,10/27/2023,10/28/2023,10/29/2023,10/30/2023,10/31/2023,11/1/2023,11/2/2023,11/3/2023,11/4/2023,11/5/2023,11/6/2023,11/7/2023,11/8/2023,11/9/2023,11/10/2023,11/11/2023,11/12/2023,11/13/2023,11/14/2023,11/15/2023,11/16/2023,11/17/2023,11/18/2023,11/19/2023,11/20/2023,11/21/2023,11/22/2023,11/23/2023,11/24/2023,11/25/2023,11/26/2023,11/27/2023,11/28/2023,11/29/2023,11/30/2023,12/1/2023,12/2/2023,12/3/2023,12/4/2023,12/5/2023,12/6/2023,12/7/2023,12/8/2023,12/9/2023,12/10/2023,12/11/2023,12/12/2023,12/13/2023,12/14/2023,12/15/2023,12/16/2023,12/17/2023,12/18/2023,12/19/2023,12/20/2023,12/21/2023,12/22/2023,12/23/2023,12/24/2023,12/25/2023,12/26/2023,12/27/2023,12/28/2023,12/29/2023,12/30/2023,12/31/2023,SOLI,Ladder
AL05,LACOSTE,TH9561,13.8,13.8,1000941249,40,Stitch,LVI,-,-,-,-,T-shirt,2022_11_2,AAJ,7242804-1,BTCNATOSFLOZ0PSH0V,LVI,X075,9/20/2023,20230620,287,301,301,301,9/27/2023,7:52 AM,9/27/2023,301,298,3,0,0,,,20230910,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,301,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000941249::40,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022233,10,Stitch,F8M,-,-,-,-,T-shirt,2023_7_1,AAF,7242901-3,BTCNATTSCLOZ0PSH0V,F8M,X077,10/22/2023,-,503,528,528,528,10/2/2023,6:00 AM,10/3/2023,264,260,4,0,0,Weight,Fabric,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,317,211,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022233::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022238,10,Stitch,F8M,-,-,-,-,T-shirt,2023_7_1,AAF,7242900-2,BTCNATTSCLOZ0PSH0V,F8M,X077,10/22/2023,-,10,11,11,11,10/3/2023,12:19 PM,10/3/2023,11,11,0,0,0,,,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022238::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022245,10,Stitch,F8M,-,-,-,-,T-shirt,2023_7_1,AAF,7242902-3,BTCNATTSCLOZ0PSH0V,F8M,X077,10/22/2023,-,250,263,263,263,10/3/2023,12:36 PM,10/3/2023,263,260,3,0,0,Minimum Neck Opening,Health & Safety,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022245::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022239,10,Stitch,IXW,-,-,-,-,T-shirt,2023_7_1,AAF,7242900-3,BTCNATTSCLOZ0PSH0V,IXW,X077,10/22/2023,-,10,11,11,11,10/3/2023,8:33 PM,10/3/2023,11,11,0,0,0,,,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022239::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022246,10,Stitch,IXW,-,-,-,-,T-shirt,2023_7_1,AAF,7242902-4,BTCNATTSCLOZ0PSH0V,IXW,X077,10/22/2023,-,302,317,317,317,10/3/2023,8:51 PM,10/4/2023,158,150,8,0,0,Peeling off,Embellishment,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022246::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022234,10,Stitch,IXW,-,-,-,-,T-shirt,2023_7_1,AAF,7242901-4,BTCNATTSCLOZ0PSH0V,IXW,X077,10/22/2023,-,567,595,595,595,10/4/2023,12:14 PM,10/5/2023,298,290,8,0,0,,,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,434,161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022234::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001005603,10,Stitch,IY4,-,-,-,-,T-shirt,2023_6_1,AAF,WASH-TH7545,BTCNATTSCLOZ0PSH0V,IY4,X010,11/12/2023,-,6,6,6,6,10/5/2023,8:56 AM,10/5/2023,6,6,0,0,0,,,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001005603::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022240,10,Stitch,IY4,-,-,-,-,T-shirt,2023_7_1,AAF,7242900-4,BTCNATTSCLOZ0PSH0V,IY4,X077,10/22/2023,-,10,11,11,11,10/5/2023,9:16 AM,10/5/2023,11,11,0,0,0,,,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022240::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022408,10,Stitch,IY4,-,-,-,-,T-shirt,2023_7_1,AAF,7245385-5,BTCNATTSCLOZ0PSH0V,IY4,X077,11/12/2023,-,29,30,30,30,10/5/2023,9:54 AM,10/5/2023,30,30,0,0,0,,,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022408::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001005219,10,Stitch,IY4,-,-,-,-,T-shirt,2023_6_1,AAF,7241965-7,BTCNATTSCLOZ0PSH0V,IY4,X075,10/29/2023,-,109,114,114,114,10/5/2023,12:05 PM,10/5/2023,114,110,4,0,0,,,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001005219::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022247,10,Stitch,IY4,-,-,-,-,T-shirt,2023_7_1,AAF,7242902-5,BTCNATTSCLOZ0PSH0V,IY4,X077,10/22/2023,-,314,330,330,330,10/5/2023,7:29 PM,10/6/2023,165,162,3,0,0,,,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,281,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022247::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022235,10,Stitch,IY4,-,-,-,-,T-shirt,2023_7_1,AAF,7242901-5,BTCNATTSCLOZ0PSH0V,IY4,X077,10/22/2023,-,555,583,583,583,10/6/2023,3:02 PM,10/9/2023,292,291,1,0,0,,,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,226,-,-,357,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022235::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022355,10,Stitch,IY4,-,-,-,-,T-shirt,2023_7_1,AAF,7245374-4,BTCNATTSCLOZ0PSH0V,IY4,X075,11/12/2023,-,187,196,196,196,10/9/2023,2:43 PM,10/9/2023,196,190,6,0,0,Printing Defects,Embellishment,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,196,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022355::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022359,10,Stitch,IY4,-,-,-,-,T-shirt,2023_7_1,AAF,7245375-4,BTCNATTSCLOZ0PSH0V,IY4,X075,11/12/2023,-,5,5,5,5,10/9/2023,7:42 PM,10/9/2023,5,5,0,0,0,,,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022359::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022393,10,Stitch,IY4,-,-,-,-,T-shirt,2023_7_1,AAF,7245382-5,BTCNATTSCLOZ0PSH0V,IY4,X075,11/12/2023,-,828,869,869,869,10/9/2023,7:49 PM,10/10/2023,434,425,9,0,0,Shading between Garment/within set/Part to part,Color,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113,756,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022393::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001005376,10,Stitch,IY4,-,-,-,-,T-shirt,2023_6_1,AAF,7242010-8,BTCNATTSCLOZ0PSH0V,IY4,X075,10/29/2023,-,873,917,917,917,10/10/2023,8:52 PM,10/11/2023,458,425,33,5,0,Wrong Size Tag/Price Ticket,Accuracy,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,837,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001005376::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,2000199901,10,Stitch,BLANC,-,-,-,-,T-shirt Polo,2023_8_1,AAK,LACOSTE-FW24SMS-03,BTCNATTSCLOZ0PSH0V,1,X023,10/24/2023,-,76,80,80,80,10/11/2023,8:15 PM,10/11/2023,80,56,20,1,3,Oil Mark,Cleanliness,20230929,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2000199901::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022378,10,Stitch,IXW,-,-,-,-,T-shirt,2023_7_1,AAF,7245377-9,BTCNATTSCLOZ0PSH0V,IXW,X075,11/12/2023,-,42,44,44,44,10/11/2023,9:27 PM,10/11/2023,44,44,0,0,0,,,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022378::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001005603,20,Stitch,IXW,-,-,-,-,T-shirt,2023_6_1,AAF,WASH-TH7545,BTCNATTSCLOZ0PSH0V,IXW,X010,11/12/2023,-,6,6,6,6,10/11/2023,10:21 PM,10/11/2023,6,6,0,0,0,,,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001005603::20,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022389,10,Stitch,IXW,-,-,-,-,T-shirt,2023_7_1,AAF,7245381-7,BTCNATTSCLOZ0PSH0V,IXW,X075,11/12/2023,-,139,146,146,146,10/11/2023,10:27 PM,10/12/2023,73,70,3,0,0,Peeling off,Embellishment,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022389::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022407,10,Stitch,IXW,-,-,-,-,T-shirt,2023_7_1,AAF,7245388-3,BTCNATTSCLOZ0PSH0V,IXW,X075,11/12/2023,-,204,214,214,214,10/12/2023,8:17 AM,10/12/2023,214,212,2,0,0,Heat Seal,Embellishment,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,214,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022407::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022369,10,Stitch,IXW,-,-,-,-,T-shirt,2023_7_1,AAF,7245376-9,BTCNATTSCLOZ0PSH0V,IXW,X075,11/12/2023,-,1015,1066,1066,1066,10/12/2023,11:52 AM,10/13/2023,533,530,3,0,0,,,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,655,411,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022369::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001005603,30,Stitch,F8M,-,-,-,-,T-shirt,2023_6_1,AAF,WASH-TH7545,BTCNATTSCLOZ0PSH0V,F8M,X010,11/12/2023,-,6,6,6,6,10/13/2023,12:15 PM,10/13/2023,6,6,0,0,0,,,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001005603::30,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022377,10,Stitch,F8M,-,-,-,-,T-shirt,2023_7_1,AAF,7245377-8,BTCNATTSCLOZ0PSH0V,F8M,X075,11/12/2023,-,40,42,42,42,10/13/2023,12:19 PM,10/13/2023,42,40,2,0,0,,,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022377::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022368,10,Stitch,F8M,-,-,-,-,T-shirt,2023_7_1,AAF,7245376-8,BTCNATTSCLOZ0PSH0V,F8M,X075,11/12/2023,-,1015,1066,1066,1066,10/13/2023,12:53 PM,10/16/2023,533,521,12,0,0,"Fabric/Yarn Defects	Fabric",,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,625,-,-,441,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022368::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001022388,10,Stitch,F8M,-,-,-,-,T-shirt,2023_7_1,AAF,7245381-6,BTCNATTSCLOZ0PSH0V,F8M,X075,11/12/2023,-,1745,1832,1832,1832,10/16/2023,12:18 PM,10/17/2023,916,900,16,0,0,,,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,711,1121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022388::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001005315,10,Stitch,F8M,-,-,-,-,T-shirt,2023_6_1,AAF,7241990-9,BTCNATTSCLOZ0PSH0V,F8M,X075,11/19/2023,-,382,401,401,401,10/17/2023,9:31 PM,10/18/2023,200,199,1,0,0,Sequins/Beads/Diamantes/Rhinestone,Embellishment,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,341,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001005315::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001005421,10,Stitch,F8M,-,-,-,-,T-shirt,2023_6_1,AAF,7242023-11,BTCNATTSCLOZ0PSH0V,F8M,X075,11/19/2023,-,2645,2777,2777,2777,10/18/2023,10:22 AM,10/20/2023,926,915,11,0,0,Dust on Garments,Cleanliness,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,861,1240,675,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001005421::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001005314,10,Stitch,IXW,-,-,-,-,T-shirt,2023_6_1,AAF,7241990-8,BTCNATTSCLOZ0PSH0V,IXW,X075,11/19/2023,-,382,401,401,401,10/20/2023,2:44 PM,10/20/2023,401,385,15,1,0,,,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001005314::10,2022 New
AL05,LACOSTE,TH7545,17.27,17.27,1001005420,10,Stitch,IXW,-,-,-,-,T-shirt,2023_6_1,AAF,7242023-10,BTCNATTSCLOZ0PSH0V,IXW,X075,11/19/2023,-,2645,2777,2777,2777,10/20/2023,8:05 PM,10/25/2023,694,670,20,3,1,Color off Standard,Color,20230925,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,189,-,-,1269,1269,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001005420::10,2022 New
