Module,Customer,Style,Total SMV,Sewing SMV,SO#,LI,Sewing Stage,Colour,E,P,D/W,LC,Product Type,Buy Month,Season,Customer PO,Chassis ID,CWN,PO Type,Del. Date,Rev Del Date,Ord Qty,Planned Qty,Total Planned,Strip Planned,PSD,Prod Start Time,PED,Avg Per Day,Actual Per Day,Defect Qty,Rejected Qty,Missing Qty,Defect Name,Defect Category,FIH,,9/4/2023,9/5/2023,9/6/2023,9/7/2023,9/8/2023,9/9/2023,9/10/2023,9/11/2023,9/12/2023,9/13/2023,9/14/2023,9/15/2023,9/16/2023,9/17/2023,9/18/2023,9/19/2023,9/20/2023,9/21/2023,9/22/2023,9/23/2023,9/24/2023,9/25/2023,9/26/2023,9/27/2023,9/28/2023,9/29/2023,9/30/2023,10/1/2023,10/2/2023,10/3/2023,10/4/2023,10/5/2023,10/6/2023,10/7/2023,10/8/2023,10/9/2023,10/10/2023,10/11/2023,10/12/2023,10/13/2023,10/14/2023,10/15/2023,10/16/2023,10/17/2023,10/18/2023,10/19/2023,10/20/2023,10/21/2023,10/22/2023,10/23/2023,10/24/2023,10/25/2023,10/26/2023,10/27/2023,10/28/2023,10/29/2023,10/30/2023,10/31/2023,11/1/2023,11/2/2023,11/3/2023,11/4/2023,11/5/2023,11/6/2023,11/7/2023,11/8/2023,11/9/2023,11/10/2023,11/11/2023,11/12/2023,11/13/2023,11/14/2023,11/15/2023,11/16/2023,11/17/2023,11/18/2023,11/19/2023,11/20/2023,11/21/2023,11/22/2023,11/23/2023,11/24/2023,11/25/2023,11/26/2023,11/27/2023,11/28/2023,11/29/2023,11/30/2023,12/1/2023,12/2/2023,12/3/2023,12/4/2023,12/5/2023,12/6/2023,12/7/2023,12/8/2023,12/9/2023,12/10/2023,12/11/2023,12/12/2023,12/13/2023,12/14/2023,12/15/2023,12/16/2023,12/17/2023,12/18/2023,12/19/2023,12/20/2023,12/21/2023,12/22/2023,12/23/2023,12/24/2023,12/25/2023,12/26/2023,12/27/2023,12/28/2023,12/29/2023,12/30/2023,12/31/2023,SOLI,Ladder
AL02,Patagonia,40260,33.1,33.1,1000987968,20,Stitch,LMBE,1,-,-,-,Hoody Baselayer,2023_4_1,AAT,455348,JK3NBODTOSFFZPFQSZBH0V0L,LMBE,X014,10/21/2023,-,1150,1185,1185,1185,9/22/2023,1:59 PM,9/25/2023,592,588,4,0,0,Incorrect color placement/sequence,Color,20230825,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,631,-,-,554,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000987968::20,2022 Re-Repeat
AL02,Patagonia,40260,33.1,33.1,1000987968,30,Stitch,MLKE,1,-,-,-,Hoody Baselayer,2023_4_1,AAT,455348,JK3NBODTOSFFZPFQSZBH0V0L,MLKE,X014,10/21/2023,-,1000,1030,1030,1030,9/25/2023,1:21 PM,9/26/2023,515,513,1,0,0,Polybag Suffocation Warning,Accuracy,20230825,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,679,351,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000987968::30,2022 Re-Repeat
AL02,Patagonia,40260,33.1,33.1,1000987968,40,Stitch,PFGD,1,-,-,-,Hoody Baselayer,2023_4_1,AAT,455348,JK3NBODTOSFFZPFQSZBH0V0L,PFGD,X014,10/21/2023,-,751,774,774,774,9/26/2023,10:20 AM,9/26/2023,774,760,11,3,0,Shading between Garment/within set/Part to part,Color,20230825,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,774,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000987968::40,2022 Re-Repeat
AL02,Patagonia,40260,33.1,33.1,1000987968,50,Stitch,WLWT,1,-,-,-,Hoody Baselayer,2023_4_1,AAT,455331,JK3NBODTOSFFZPFQSZBH0V0L,WLWT,X014,10/21/2023,-,1700,1751,1258,1258,9/26/2023,8:29 PM,9/27/2023,629,624,5,0,0,Condition of Carton/Inner,Accuracy,20230825,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,149,1109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000987968::50,2022 Re-Repeat
AL02,Patagonia,40260,33.1,33.1,1001002077,50,Stitch,STLE,1,-,-,-,Hoody Baselayer,2023_5_2,AAT,456835,JK3NBODTOSFFZPFQSZBH0V0L,STLE,X014,11/30/2023,-,750,773,773,773,9/27/2023,8:57 PM,10/2/2023,386,380,6,0,0,Dust on Garments,Cleanliness,20230915,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,117,-,-,-,-,656,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001002077::50,2022 Re-Repeat
AL02,Patagonia,40260,33.1,33.1,1001002077,60,Stitch,WLWT,1,-,-,-,Hoody Baselayer,2023_5_2,AAT,456835,JK3NBODTOSFFZPFQSZBH0V0L,WLWT,X014,11/30/2023,-,2101,2164,2164,2164,10/2/2023,2:42 PM,10/4/2023,721,711,10,0,0,Carton Marking,Accuracy,20230915,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,581,1238,345,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001002077::60,2022 Re-Repeat
AL02,Patagonia,40260,33.1,33.1,1001002077,40,Stitch,PFGD,1,-,-,-,Hoody Baselayer,2023_5_2,AAT,456835,JK3NBODTOSFFZPFQSZBH0V0L,PFGD,X014,11/30/2023,-,825,850,850,850,10/4/2023,10:18 AM,10/4/2023,850,835,14,1,0,Polybag Suffocation Warning,Accuracy,20230915,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,850,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001002077::40,2022 Re-Repeat
AL02,Patagonia,40260,33.1,33.1,1001002077,30,Stitch,MLKE,1,-,-,-,Hoody Baselayer,2023_5_2,AAT,456835,JK3NBODTOSFFZPFQSZBH0V0L,MLKE,X014,11/30/2023,-,1600,1648,1648,1648,10/4/2023,10:00 PM,10/6/2023,549,545,4,0,0,Wrong Size Tag/Price Ticket,Accuracy,20230915,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,1238,368,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001002077::30,2022 Re-Repeat
AL02,Patagonia,40260,33.1,33.1,1001002077,20,Stitch,LMBE,1,-,-,-,Hoody Baselayer,2023_5_2,AAT,456835,JK3NBODTOSFFZPFQSZBH0V0L,LMBE,X014,11/30/2023,-,1450,1494,1494,1494,10/6/2023,11:03 AM,10/9/2023,747,732,13,2,0,Bonding,Embellishment,20230915,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,870,-,-,624,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001002077::20,2022 Re-Repeat
AL02,Patagonia,40260,33.1,33.1,1001002077,10,Stitch,BLK,1,-,-,-,Hoody Baselayer,2023_5_2,AAT,456835,JK3NBODTOSFFZPFQSZBH0V0L,BLK,X014,11/30/2023,-,1050,1082,1082,1082,10/9/2023,2:18 PM,10/10/2023,541,538,2,1,0,Insecurely Fusing Backing,Health & Safety,20230915,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,614,468,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001002077::10,2022 Re-Repeat
